"title","rating","summary","relDate"
"The Addams Family (2019)","5.8","The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.","11 October 2019 (USA)"
"Halloween (1978)","7.8","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","27 October 1978 (USA)"
"Once Upon a Time... In Hollywood (2019)","7.6","A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.","26 July 2019 (USA)"
"Avengers: Endgame (2019)","8.4","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","26 April 2019 (USA)"
"The Craft: Legacy (2020)","","A group of high school students form a coven of witches. A sequel to the 1996 film, ""The Craft"".","28 October 2020 (USA)"
"The Batman (2022)","","The plot is unknown.","4 March 2022 (USA)"
"Parasite (2019)","8.6","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","8 November 2019 (USA)"
"The Shining (1980)","8.4","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","13 June 1980 (USA)"
"Sleepy Hollow (1999)","7.3","Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.","19 November 1999 (USA)"
"Secret Society of Second Born Royals (2020)","4.6","It follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.","25 September 2020 (USA)"
"Bill & Ted Face the Music (2020)","6.2","Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.","28 August 2020 (USA)"
"Fatman (2020)","7.5","Santa Claus must contend with a hitman sent from a disappointed child.","17 November 2020 (USA)"
"Doctor Sleep (2019)","7.3","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","8 November 2019 (USA)"
"Jojo Rabbit (2019)","7.9","A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.","8 November 2019 (USA)"
"The Shawshank Redemption (1994)","9.3","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","14 October 1994 (USA)"
"Interstellar (2014)","8.6","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","7 November 2014 (USA)"
"Fast Times at Ridgemont High (1982)","7.2","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.","13 August 1982 (USA)"
"12 Hour Shift (2020)","5.2","Bodies start to pile up when a drug-user nurse and her cousin try to find a replacement kidney for an organ trafficker.","2 October 2020 (USA)"
"The Silence of the Lambs (1991)","8.6","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","14 February 1991 (USA)"
"The Nightmare Before Christmas (1993)","8.0","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","29 October 1993 (USA)"
"Onward (2020)","7.4","Two elven brothers embark on a quest to bring their father back for one day.","6 March 2020 (USA)"
"The Dark Knight (2008)","9.0","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","18 July 2008 (USA)"
"The Binding (2020)","4.6","While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.","2 October 2020 (USA)"
